% Model,array_8pzt_3cristal.mph
% Version,COMSOL 6.4.0.293
% Date,"May 11 2026, 17:10"
% Table,Probe Table 1 - 
% Time (s),"Electric potential (V), Domain Probe 1","Electric potential (V), Domain Probe 2","Electric potential (V), Domain Probe 3","Electric potential (V), Domain Probe 4","Electric potential (V), Domain Probe 5","Electric potential (V), Domain Probe 6","Electric potential (V), Domain Probe 7","Electric potential (V), Domain Probe 8"
0,0,0,0,0,0,0,0,0
2.0E-7,0.004853783672830216,0.0034509899178018955,-1.0740816570039742,0.0034451778682843357,0.004853775487214883,0.004854365279660216,0.004854395228794355,0.004854296753205267
4.0E-7,-0.30710962989810886,-0.3522503165081577,-5.634707303920764,-0.3523676158229101,-0.30711755659187967,-0.31855416545561,-0.3174227840782984,-0.31739876188335076
6.0E-7,-2.7586020066148573,-1.887972546357173,-9.92296311001737,-1.8896718363086316,-2.7588840784116755,-2.9072892696088553,-2.8557093661881208,-2.8637156880700805
8.0E-7,-3.1398524654216917,-0.790694052551338,-7.686518314091291,-0.7940157522125366,-3.12295173235142,-4.043361951625363,-3.70583927051716,-3.8305805547688676
1.0E-6,0.8555441688745263,2.395854254424489,-0.979496406446511,2.396017867650962,0.866814973906489,-0.4097784208024306,0.1662204222013628,-0.17652871545191223
1.2E-6,3.6116433012241824,2.905040783369143,1.9496421914533566,2.8903309392153558,3.4970095605551648,2.436595448782786,2.866621413825957,2.601957939356729
1.4E-6,0.6927365642321244,-0.17728133976310348,0.7478814214189079,-0.2119404976541817,0.46318963378217304,0.08307919962933072,-0.025083661612702327,0.07754654084979296
1.6E-6,-1.409751853420022,-0.8822727138249276,-0.2254981020571064,-0.9191294553296563,-1.4506806106666683,-1.6151299394426857,-1.808450772121457,-1.6340691629008421
1.8E-6,-0.2098506203764746,0.3319941916508569,0.32883480737537923,0.3030330410722836,-0.11054767530450184,-0.12725656232634916,-0.15565046218001485,-0.17924399659704987
2.0E-6,0.7206048315735409,0.7906929052206492,0.5079563527281037,0.7875177116021949,0.7836343044948635,0.518235818349596,0.6370321745532761,0.6332294733085212
2.2E-6,0.13984007713565955,0.1773353541544123,0.03864186141175993,0.1933790784124173,0.10115825638346766,-0.01326159967817505,-0.08436606230053655,0.03681177962045181
2.4E-6,-0.18917503548690973,-0.08413912175171168,-0.09624015008286754,-0.07981321415712028,-0.15256421183190857,-0.2494597878379772,-0.27221175723936486,-0.23097275614960266
2.5999999999999997E-6,-3.457085141975368E-4,-0.039026073276582265,0.1150624494538292,-0.060215286198741745,0.019734900043173062,-0.022418999326930287,-0.03225199550636675,-0.08715057029176028
2.8E-6,0.014385091608824865,0.003771447493835779,0.09238626620453168,-0.004890329292462209,0.037198503632163024,0.011171613411001797,0.018728420214616487,-0.006215797032622416
3.0E-6,-0.011532009613869106,0.024979472733662803,-0.0332720629707755,0.02372113752289175,-0.028812995698985343,0.046535542032183276,-0.016396542578352116,0.00109929841737271
3.2E-6,0.0012001083552595326,0.0361984708849129,0.00935744297041043,0.036542885967258305,0.012617346983200701,0.0035410909718868035,0.00824380934902637,0.007474882726859973
3.3999999999999996E-6,0.004371378732321385,-0.006219882346828535,0.030720346690452,-0.006679112651564086,0.010173183573391566,-0.007391739734068117,0.003412980994203404,-0.012215294476239539
3.6E-6,-0.022757179795064187,-0.02298630086093133,-5.578339376689526E-4,-0.021859857853581972,-0.022698801381966085,-0.021659937571449323,-0.033422646866973764,-0.029107284751781395
3.8E-6,-0.006978990785379401,0.001068969975290936,-0.013297170577441708,8.796897996477397E-5,-0.010131018358237036,-0.008074278135302667,-0.012433388791959276,-0.00991705842964263
4.0E-6,0.01169506457439324,0.012611641274235554,-0.001167491538009991,0.011054133189363395,0.014841296101807922,0.0061424193183918585,0.011669093258524598,0.00873192199238653
4.2E-6,6.800304056967636E-4,-0.00705981866762903,0.009156361373967489,-0.006951648179135734,0.0014754708911559223,-0.00824335316492106,-0.0024930547720846833,-0.002577967325977525
4.4E-6,-0.00981165425340309,-0.007795372441572098,-0.006127582208306459,-0.007060361815103074,-0.014176395903674643,-0.0020361529812107275,-0.012733467359718146,-0.008897882227889705
4.6E-6,-0.003833890768568886,1.624172226739209E-5,0.0015705571056926681,0.0011471855984175178,-7.594944278937393E-4,-0.0030819112495899287,-0.0010648146280674278,5.5199251536378055E-5
4.8E-6,0.0020204730828138682,0.0014621569770891195,-8.924469695858277E-5,6.172211838823293E-4,0.0036132469503296497,0.0023085604772309655,0.002876070171009581,0.001691375911516545
4.9999999999999996E-6,-3.8209068026227427E-4,-6.985868523510993E-4,0.001265683570977746,-6.200230861381373E-4,-6.920523281421771E-4,-0.0027254471368363927,-8.636432352323391E-4,-0.0014601240395555241
5.199999999999999E-6,-9.855602148502389E-4,-0.0010436237720703931,-0.002110262826411837,-9.792913478455121E-4,-0.003053456279850007,0.00103020857974775,-0.001017481001112461,-0.0018746642380019225
5.4E-6,5.637197728192571E-4,5.217460791428948E-4,0.0010605765468047874,2.2159666147764825E-4,0.0010979207691909265,-0.0014750317407724125,-6.389058935864157E-4,6.602767817384867E-4
5.6E-6,-4.621361153998724E-4,-5.252099602919805E-4,-3.0478706719342202E-5,-7.926616820445273E-4,-5.359443078231092E-4,6.486922721639918E-5,-6.700965555369011E-4,-0.0013256381483585657
5.7999999999999995E-6,-7.758330327241887E-4,-1.9263457041339467E-4,-1.3063410660043396E-4,-4.870072249855815E-4,-0.0014080076321821306,-0.0012675024297932995,-0.0013188539999206689,2.3473699798543264E-4
6.0E-6,-5.634890686845296E-4,-3.867873073302496E-5,9.108448283590842E-5,1.679526306948132E-4,-2.3363814243211676E-4,-5.961669533633521E-4,-2.3207302901606426E-5,-0.0010208387531246586
6.2E-6,0.0011822439203216567,0.0011781997261859768,3.6396794061694396E-4,0.0012592042057915408,0.0014842643174811515,0.0013893408065961065,0.0010894089493028532,0.0016960985079516923
6.4E-6,-1.0729035668529432E-4,-5.072923823488573E-4,7.811281012413451E-5,3.990215591645699E-5,-5.6385024690283634E-5,-3.7222352127989406E-4,-1.2992493536342613E-4,-3.016119461425676E-4
6.5999999999999995E-6,-6.505703729874341E-4,-3.061073750195285E-4,-3.1809617788418327E-4,-5.397331575901167E-4,-6.57884406894842E-4,-3.108432691589214E-4,-5.258331552342281E-4,-4.008421944469691E-5
6.799999999999999E-6,3.8057967811516263E-4,2.757953401201621E-4,-1.4257933278920867E-4,3.4018122348953976E-4,7.42301074034364E-4,3.719550713354845E-4,0.0010085034841105696,-3.3430409955598526E-4
7.0E-6,-2.275207236662548E-4,-4.838839367067069E-4,7.559709313001886E-5,-6.321501645887868E-4,-5.708790285857727E-4,3.849806290719368E-5,-5.777904017269945E-4,2.3102324942752466E-4
7.2E-6,-1.5566048294545924E-4,-2.1261776725767364E-4,-3.104363102912619E-4,-5.616029959845822E-5,-2.3905727136597942E-4,-3.7954002277367757E-4,-3.8105467022101847E-4,-5.826034070594482E-4
7.3999999999999995E-6,5.947098053132824E-5,-1.8251789483492953E-4,2.636553350619752E-4,-1.543579339775644E-4,-7.342604256822954E-5,2.652996134526349E-5,1.9775873894331496E-4,2.496391226103809E-4
7.6E-6,5.076213194079268E-4,7.445879225723015E-4,-4.6731464190566346E-5,4.708399844608863E-4,5.811398260425462E-4,-3.3727785926181333E-6,4.1534654374065773E-4,1.4604525751947845E-4
7.8E-6,-7.453123188215318E-4,-2.721545043696741E-4,1.803397038209125E-4,-1.5443601628051766E-4,-5.734526207705459E-4,2.023473298494248E-4,-4.869492914671116E-4,-2.09882126923139E-4
8.0E-6,1.1067889027114709E-4,2.758656257816472E-4,1.5885484270798756E-5,2.471807738519559E-4,4.530496900282518E-4,1.4061911212923417E-5,3.159067727394894E-4,1.3760891800524623E-4
8.2E-6,3.963485066039401E-4,-2.0601108657705648E-4,1.7313524453515302E-4,1.1289297726839067E-4,-3.798658304631101E-5,-6.449123682112882E-5,-8.310178560697156E-5,1.0662756236437857E-5
8.4E-6,-1.9016943133532462E-4,-1.5468165909486532E-4,-2.9787609601805243E-4,-1.4330582787689555E-4,-1.0285854028100004E-4,-3.6367410647400304E-4,-2.935366163442035E-4,-1.1329125618691678E-4
8.599999999999999E-6,-5.848004182151321E-4,-1.1251551662967208E-4,-2.8550601738941592E-5,-2.185234014974832E-4,-4.5551405027456583E-4,-4.3138728952564476E-4,-1.7007499246183338E-4,-1.273370325233296E-4
8.8E-6,4.063620798365795E-4,1.723786916997006E-4,1.3157615698837478E-4,-2.1560968571937501E-4,1.91249924575024E-4,2.24258526942164E-4,5.5429172459335096E-5,1.0055743262028975E-4
9.0E-6,2.0626112967258594E-4,1.384686957486534E-4,-4.630011564780502E-6,-1.8707513686758012E-5,-8.740273129739306E-5,2.1673928420525712E-4,1.664771707378956E-4,-7.364325449083904E-6
9.2E-6,2.5590780484722743E-5,2.4343841251606816E-4,-3.7033666346999086E-5,3.850926686999695E-4,4.973007571195781E-4,4.8793364340381603E-4,3.6716728366661326E-4,4.7857491540616195E-4
9.4E-6,1.1346069321393312E-4,2.0606552321496925E-4,-3.094500258276082E-5,3.0844588288742367E-4,1.5648061599225405E-4,1.2006558947145912E-4,3.5931041139431624E-4,-1.425346133450568E-4
9.6E-6,-2.0160180707337305E-5,-3.6088474432926555E-4,8.261104379756997E-5,2.18228986081972E-5,-4.927540534913722E-5,-2.619992535930598E-5,-3.0698823658567814E-4,-9.102403849781584E-5
9.8E-6,-6.722008266756487E-5,-1.624473879006004E-4,-1.6521836013371646E-4,-2.717893233375279E-5,1.5855742370707608E-5,-3.2000787652073173E-4,-1.8226321293972564E-4,3.825181676699375E-5
9.999999999999999E-6,-2.3583671174626645E-4,-1.9481821985595698E-4,1.692548463931686E-5,-2.0609029111317854E-4,-2.1364447356655763E-4,-2.941472333295728E-4,-2.4273257585224177E-4,-6.77251369953559E-5
9.999999999999999E-6,-2.3583671174626645E-4,-1.9481821985595698E-4,1.692548463931686E-5,-2.0609029111317854E-4,-2.1364447356655763E-4,-2.941472333295728E-4,-2.4273257585224177E-4,-6.77251369953559E-5
1.0199999999999999E-5,-3.0145577884419086E-4,-2.336323652926978E-5,-1.5190433876418067E-5,-4.3399984814532607E-4,-2.7252413649871284E-4,-3.1597417715876705E-4,-1.35389807310583E-4,-5.08023948011878E-4
1.0399999999999999E-5,-3.653223798858492E-5,-6.049662602912603E-6,1.9822925560914763E-4,-2.185361502009908E-4,-2.562843079614323E-4,2.3012733655996783E-4,-5.011932980641248E-6,3.2667638589412995E-5
1.0599999999999998E-5,3.2274568141166693E-4,2.803355459162658E-4,-6.534071995446891E-5,3.132352402027803E-4,3.9304195760213E-4,4.326689942347256E-4,2.9289149959509645E-4,4.127765439580325E-4
1.0799999999999998E-5,1.0522742741129347E-4,2.783085224751245E-5,8.010080702900534E-6,2.3394567052315918E-4,4.453462011046467E-5,3.90925267111159E-5,1.2240620176992586E-4,-1.469785239813254E-5
1.1E-5,1.1318474775775755E-4,5.8730632547171836E-5,-1.098046938467077E-4,2.395657751500106E-4,1.5232590904927515E-4,-9.171489012597008E-6,1.5525087945982957E-4,1.2905017273094656E-4
1.12E-5,-4.151951768020824E-5,-5.76954244880605E-5,6.639723119248055E-5,2.0469408218001548E-6,2.3743546587909204E-5,1.606312609888706E-5,-6.669449841759468E-5,9.761821940341148E-5
1.14E-5,-7.53591683190415E-5,-1.987176923874949E-5,-7.499843440135276E-5,-1.5047399329147707E-4,1.29577462439873E-4,-1.0190949544295596E-4,-1.2499373788383747E-4,-1.9424612701521672E-5
1.1599999999999999E-5,-9.61971443133262E-5,-1.2375861022818747E-4,-1.1416193342220675E-6,-1.279854037535508E-4,-2.1449798437515028E-4,-2.2218591651345924E-4,-9.336930195561877E-5,-2.3230062027528945E-4
1.1799999999999999E-5,0.006931201413472223,0.006871808438847747,0.003386843994550784,0.006430007764261443,0.005973440532321069,0.005575321050636985,0.004709238519738715,0.0036338927597904993
1.1999999999999999E-5,0.0307256267776303,0.030005335067699243,0.004596164918601135,0.02823928671822066,0.026763656240576677,0.02507944070913111,0.022662543155932604,0.020602141692837958
1.2199999999999998E-5,0.012646782077921755,0.01033773336890321,-0.006043534398266918,0.007669758681598182,0.005782737214690362,0.004181806391810711,0.0026412112742359626,0.004288117641812659
1.24E-5,-0.03512025205567121,-0.03658130376900377,-0.00865231042114192,-0.03857775357467473,-0.03966358154270994,-0.04011693855777535,-0.03885340339116803,-0.03392797420570151
1.2599999999999998E-5,-0.02481962141303895,-0.022506283505526525,0.004959276198387203,-0.02347207348092178,-0.022755407325604448,-0.022666878417692153,-0.020769454279036186,-0.020617745395843753
