% Model,array_8pzt_6cristal.mph
% Version,COMSOL 6.4.0.293
% Date,"May 11 2026, 17:26"
% Table,Probe Table 1 - 
% Time (s),"Electric potential (V), Domain Probe 1","Electric potential (V), Domain Probe 2","Electric potential (V), Domain Probe 3","Electric potential (V), Domain Probe 4","Electric potential (V), Domain Probe 5","Electric potential (V), Domain Probe 6","Electric potential (V), Domain Probe 7","Electric potential (V), Domain Probe 8"
0,0,0,0,0,0,0,0,0
2.0E-7,0.0048529669956481145,0.004853049218699905,0.00485302951505651,0.004852456078484757,0.003448517173098183,-1.0740980359413848,0.0034533139980517874,0.004852443498423977
4.0E-7,-0.3174133930367675,-0.3174365291311041,-0.3185678085931606,-0.30714659239013337,-0.3522342985400379,-5.6349130250446375,-0.3521075559275732,-0.30716159513750096
6.0E-7,-2.863541042262179,-2.8555558779088446,-2.9070919685294956,-2.758957004054869,-1.889668835644371,-9.922739013212173,-1.8873144247459082,-2.758688888577329
8.0E-7,-3.8301952800866084,-3.705687537048263,-4.0427189908946035,-3.123513440295096,-0.7944468529830733,-7.685514506206054,-0.7900559419618377,-3.1394684982270364
1.0E-6,-0.17604134649328382,0.1659417621186138,-0.4094479940220151,0.8662457499199209,2.3957167665237535,-0.9790218838310548,2.3961927831421206,0.8562974237673514
1.2E-6,2.602455816885932,2.865815792470851,2.4357558946880515,3.4972792269306097,2.890065012060215,1.948439203980548,2.905702719927754,3.611976303529858
1.4E-6,0.0778104337906661,-0.026026656202026793,0.08206927266205269,0.4646480842667362,-0.21316184442635464,0.7465834029697472,-0.17614414472981688,0.6919912179450181
1.6E-6,-1.6343379214247353,-1.8088392301871157,-1.6149352251387121,-1.4495327045187387,-0.9200680543831795,-0.22539295025854272,-0.8818154464275592,-1.4103856307478015
1.8E-6,-0.1792675695454782,-0.15536851520946338,-0.1262197471515376,-0.11063446232975242,0.30485834772816056,0.32997330677135683,0.3316195861903343,-0.2096083389143477
2.0E-6,0.6336621178278895,0.6375323731790031,0.518773516438761,0.7827770235599707,0.7912034237214799,0.5091540358951386,0.7902819601625919,0.7209236014139113
2.2E-6,0.03726376456691123,-0.08417583985293203,-0.013365732720838273,0.10098296987160253,0.1962500524481095,0.03916556601481459,0.17751048079496906,0.13913234650861786
2.4E-6,-0.23070213809701468,-0.2718589305291022,-0.249577824873355,-0.15184239989135997,-0.07845015315710892,-0.0967864989094803,-0.08335785624019267,-0.19012151472298056
2.5999999999999997E-6,-0.08681510861568954,-0.03191362784738767,-0.02178667782367071,0.020547853514053256,-0.060006504907068624,0.11394818122992917,-0.038191368531379354,-8.667265147126153E-4
2.8E-6,-0.006271278641301855,0.019034299332261456,0.011849496410827231,0.03781327243769027,-0.005912605105394337,0.09142394685916437,0.0039906510285775834,0.014024968646009599
3.0E-6,9.101980102292385E-4,-0.016208543323079264,0.04658211462563507,-0.028056539777140305,0.022024535644760992,-0.034146162837006964,0.024628914552312937,-0.011837491063224598
3.2E-6,0.007439969424720312,0.008395208967548612,0.0030711746871050377,0.013549305397787426,0.03508417870578051,0.008429929290883063,0.03561616224464296,0.0011968394964752787
3.3999999999999996E-6,-0.012066996282828863,0.003260330662354692,-0.007437150858564471,0.010678259643566754,-0.007356222017668789,0.030149899565994027,-0.006666423783347297,0.0044479217874885384
3.6E-6,-0.029058524291896603,-0.03344893380408352,-0.021402899838236983,-0.022832797358982262,-0.021878202204125046,-2.724980912236008E-4,-0.023048373318772526,-0.022845588922821947
3.8E-6,-0.009985423152022659,-0.012396131662487406,-0.00785807964378444,-0.01066084879176915,3.5730520779674583E-4,-0.01272544534416536,0.0012785739772686827,-0.007017234857550642
4.0E-6,0.00857371991389435,0.011587022695077954,0.006093655021208077,0.01457174865501161,0.011212076968045307,-0.0010209360446878691,0.012700194836997374,0.01187668732251461
4.2E-6,-0.002650424893878628,-0.0026155900595166742,-0.008260594371344201,0.0016672143861048688,-0.006820039725287873,0.009052843472669384,-0.007035564381509498,8.490337499093034E-4
4.4E-6,-0.008901250413878823,-0.012718896715199537,-0.0019918047799365127,-0.013927197512654697,-0.007007070455683447,-0.005986156551798691,-0.007744789787851119,-0.009817640983194464
4.6E-6,4.16352435671151E-5,-0.001094070716817878,-0.0030456644595789114,-7.113979436359777E-4,0.0011059866701505412,0.0016988567204593923,4.290703142674199E-5,-0.0038896902341281074
4.8E-6,0.0016786698027332373,0.002816717274067926,0.002313148568532648,0.0036708775083879137,6.079545134709011E-4,-1.524752339961491E-4,0.0014769242277740914,0.002059610720995124
4.9999999999999996E-6,-0.0014615598639215414,-8.450290345821234E-4,-0.002672535604645711,-6.060392874049658E-4,-5.352064093225741E-4,0.0012113032927836128,-6.466131423609194E-4,-3.228633626368704E-4
5.199999999999999E-6,-0.0018838006027554171,-9.786423709414892E-4,0.0010867998682144572,-0.003061816083702321,-9.82362459386112E-4,-0.002043955994711507,-0.001020780635961852,-9.503223000167344E-4
5.4E-6,6.296986139587334E-4,-6.217762635936963E-4,-0.001475945465184121,0.0010287251037164329,1.7111748201357967E-4,0.0010888101622341273,5.110483920650374E-4,5.790271014817753E-4
5.6E-6,-0.0013309455624663895,-6.541781250337606E-4,4.569490672366683E-5,-5.426191708021407E-4,-7.81777470265222E-4,-4.234294231264646E-5,-5.21253350328953E-4,-4.5595163450084977E-4
5.7999999999999995E-6,2.567968457496945E-4,-0.001311239343127277,-0.001269306997068575,-0.0013872848225642057,-4.5810257787867216E-4,-1.2082128218512649E-4,-1.7409674179310176E-4,-7.627637119076925E-4
6.0E-6,-0.0010066136128140334,-2.5244370021398617E-5,-5.930445959852587E-4,-2.3578702962232765E-4,1.6030668024314513E-4,1.116642418095114E-4,-2.981438649543417E-5,-5.565740011008749E-4
6.2E-6,0.0016838671463185746,0.001079750447735874,0.0013841934928249466,0.0014715809495165805,0.00125289413801113,3.653582507466077E-4,0.0011754351089903177,0.001170010541426627
6.4E-6,-3.0050591001058887E-4,-1.3408175837414577E-4,-3.7346294378703683E-4,-5.037143179058133E-5,4.835494072810353E-5,6.970530574575983E-5,-5.020368471586025E-4,-1.0903762190456695E-4
6.5999999999999995E-6,-2.774488768202155E-5,-5.230892399920637E-4,-3.0689402728330045E-4,-6.540177781961628E-4,-5.366239696385636E-4,-3.130176424643469E-4,-3.0473448806753276E-4,-6.391516983511878E-4
6.799999999999999E-6,-3.30200049214199E-4,0.0010132109495920914,3.742377640141297E-4,7.37364608377829E-4,3.3689170007166814E-4,-1.3470058156324092E-4,2.730975655696083E-4,3.7912378925789876E-4
7.0E-6,2.2843477382314308E-4,-5.765958541583986E-4,3.5887584602451575E-5,-5.787663181583446E-4,-6.322597923795876E-4,7.639360291116076E-5,-4.8798308576954256E-4,-2.3180890556571873E-4
7.2E-6,-5.81811707279338E-4,-3.79499543081505E-4,-3.795259447908E-4,-2.3695749079580017E-4,-5.668990037499104E-5,-3.134615782002826E-4,-2.1180852174203306E-4,-1.537720760895042E-4
7.3999999999999995E-6,2.5157607522586454E-4,1.9735657239459742E-4,2.753337681975301E-5,-7.181005164990043E-5,-1.5850866433631054E-4,2.632008999640165E-4,-1.805461433345873E-4,6.236970192969343E-5
7.6E-6,1.4977037966784778E-4,4.1658540072597386E-4,-2.647269929898661E-7,5.822472539849766E-4,4.6810710493242684E-4,-4.665703155305607E-5,7.476315480823224E-4,5.058496021978329E-4
7.8E-6,-2.0787034459873537E-4,-4.8243629041401135E-4,2.0190572754248508E-4,-5.766089246168885E-4,-1.525241709680983E-4,1.806979407564453E-4,-2.6992125150821595E-4,-7.471663826732484E-4
8.0E-6,1.3510531149337463E-4,3.1635286978945254E-4,1.319494467272666E-5,4.511744848303621E-4,2.45727737652829E-4,1.7598556923556845E-5,2.7314138892656984E-4,1.1062436216317467E-4
8.2E-6,7.725386021733753E-6,-8.690343633096523E-5,-6.676041705767686E-5,-3.984474089118483E-5,1.1174698883389074E-4,1.7309598518479646E-4,-2.1012701137877767E-4,3.9640955929724867E-4
8.4E-6,-1.1360712476691484E-4,-2.9567313444966287E-4,-3.633405592130771E-4,-1.0200347280005869E-4,-1.437779407172522E-4,-2.98747630301493E-4,-1.5506867034531993E-4,-1.8917139169210792E-4
8.599999999999999E-6,-1.243129421623998E-4,-1.670394884433875E-4,-4.2988402743423593E-4,-4.537059802230752E-4,-2.150615123434778E-4,-2.8997830153633424E-5,-1.0722593544050559E-4,-5.836247423009747E-4
8.8E-6,1.012595342883431E-4,5.765720145019586E-5,2.2581468619770057E-4,1.9292128352589924E-4,-2.1451038325434913E-4,1.3237895334817942E-4,1.7390583875846635E-4,4.07202936032128E-4
9.0E-6,-8.905197197038274E-6,1.6552739827611996E-4,2.1625280729287936E-4,-8.81762704950181E-5,-1.723556733231884E-5,-4.654721543598717E-6,1.3681891440687054E-4,2.042557264550004E-4
